date,n1,n2,n3,n4,n5,n6
2025-07-01,24,34,36,37,41,48
2025-07-04,15,16,41,42,47,57
2025-07-06,4,14,15,16,23,35
2025-07-08,7,24,27,30,33,52
2025-07-11,12,24,25,29,38,41
2025-07-13,12,17,18,33,41,57
2025-07-15,8,16,22,36,38,41
2025-07-18,1,12,16,19,46,54
2025-07-20,9,20,23,32,39,44
2025-07-22,18,27,39,42,49,52
2025-07-25,5,19,30,43,50,51
2025-07-27,23,38,39,40,42,50
2025-07-29,5,7,18,28,32,48
2025-08-01,3,7,10,13,15,44
2025-08-03,12,17,37,44,45,46
2025-08-05,21,22,37,39,48,50
2025-08-08,4,6,15,41,43,52
2025-08-10,3,13,15,30,47,57
2025-08-12,14,22,33,39,50,57
2025-08-15,4,5,7,24,34,47
2025-08-17,2,17,26,28,54,57
2025-08-19,7,15,29,40,43,52
2025-08-22,1,16,27,34,44,57
2025-08-24,28,29,35,42,43,56
2025-08-26,4,16,31,35,36,50
2025-08-29,1,11,19,27,41,57
2025-08-31,14,18,43,45,50,52
2025-09-02,22,25,36,40,49,58
2025-09-05,19,20,29,36,38,47
2025-09-07,19,29,31,40,50,54
2025-09-09,15,23,31,38,52,54
2025-09-12,22,26,27,30,46,57
2025-09-14,2,5,17,18,45,57
2025-09-16,1,3,24,27,32,34
2025-09-19,9,10,19,22,31,47
2025-09-21,19,21,28,49,51,54
2025-09-23,17,33,40,47,49,55
2025-09-26,1,2,11,27,33,48
2025-09-28,14,17,25,33,36,50
2025-09-30,28,29,32,39,41,46
2025-10-03,15,18,41,50,51,58
2025-10-05,2,12,16,45,46,50
2025-10-07,13,17,23,35,43,58
2025-10-10,1,3,12,14,19,49
2025-10-12,4,11,16,30,32,41
2025-10-14,22,31,34,44,48,51
2025-10-17,2,5,30,32,52,54
2025-10-19,9,10,15,16,17,25
2025-10-21,4,15,17,29,32,34
2025-10-24,6,15,23,35,39,49
2025-10-26,8,10,40,43,46,49
2025-10-28,5,16,23,37,51,57
2025-10-31,7,12,17,20,31,39
2025-11-02,19,28,30,47,50,51
2025-11-04,2,4,12,37,38,44
2025-11-07,18,22,29,44,46,50
2025-11-09,7,19,22,25,28,57
2025-11-11,8,18,19,40,46,53
2025-11-14,1,6,8,14,39,48
2025-11-16,10,12,13,14,29,37
2025-11-18,5,18,30,37,44,49
2025-11-21,22,26,34,41,49,52
2025-11-23,14,20,26,28,39,46
2025-11-25,6,19,31,36,40,42
2025-11-28,16,32,33,38,41,48
2025-11-30,3,8,20,26,28,58
2025-12-02,24,40,45,54,56,57
2025-12-05,13,20,28,36,48,55
2025-12-07,14,33,34,39,49,56
2025-12-09,8,22,26,29,36,47
2025-12-12,15,27,40,45,48,58
2025-12-14,6,14,18,19,43,49
2025-12-16,1,12,14,35,37,43
2025-12-19,2,7,23,31,35,50
2025-12-21,8,14,17,42,49,51
2025-12-23,6,11,12,13,43,54
2025-12-26,4,17,19,28,46,50
2025-12-28,3,12,23,28,31,44
2025-12-30,13,20,37,49,51,56
